played_at,track_name,artist_name,track_duration_ms,playlist_name,popularity,artist_genres,album_name,album_release_date,track_id,album_id,artist_ids,playlist_id
2024-08-27 11:21:31,Enemy (with JID) - from the series Arcane League of Legends,"Imagine Dragons, JID, Arcane, League of Legends",173381,,74,"modern rock, pop, rock",Enemy (with JID) [from the series Arcane League of Legends],2021-10-28,1r9xUipOqoNwggBpENDsvJ,1bTgKomQYSkKYPD9UI9W4b,"53XhwfbYqKCa1cC15pYq2q, 6U3ybJ9UHNKEdsH7ktGBZ7, 57nPqD7z62gDdq37US9XJR, 47mIJdHORyRerp4os813jD",
2024-08-27 11:24:07,Ripe,FLAVIA,156766,,45,"alt z, la pop",Suck My Feminism (Deluxe),2021-10-29,5cOJAACnd9jTsMEjjlWQS0,5BBvEN7V7gj5qRKUZAzau4,4KvJPTW5GGjm49mMuzftPA,
2024-08-27 11:26:29,buzzkill,MOTHICA,140111,,53,"alt z, vapor soul",forever fifteen,2021-03-19,4xlm4TJeOZAkJR6PkLL4Gx,25u0KCcZT2mgBJtOF0ciem,1JhiIIXT9DWqEU3BYFZwGA,
2024-08-27 11:39:39,Play With Fire (feat. Frances Forever),"Tessa Violet, Frances Forever",236416,,34,"alt z, indie pop, pov: indie",Play With Fire (feat. Frances Forever),2023-08-16,7LyGoh4umDLZgIlLYSzO1t,75mqQgjafxqZIwypeugZwK,"5DD5GZd4ElmQTy9NleMvKJ, 5uuqghaOBgtv92jDyDveQl",
2024-08-27 11:40:06,dramatic,Cat & Calmell,150200,,46,,dramatic,2021-01-13,5uBlr2RNpuu3n7ROgiQa7w,2uIYbXxbgDyGpndqhhHQS9,0SaaipFXHYbYDLDB6atAoR,
2024-08-27 14:55:44,Record Player,"Daisy the Great, AJR",149538,,60,brooklyn indie,All You Need Is Time (Deluxe Edition),2022-10-27,7Gk8IPlFTLUcoIH3mtASI0,48cRveHwoBa5RQ4HbggHQ4,"0SrIPejckovMwhrN3MZFPB, 6s22t5Y3prQHyaHWUN1R1C",
2024-08-27 14:59:13,Feel Good (If It Was Easy),"Odd Chap, Elle & The Pocket Belles",209497,,11,electro swing,Feel Good (If It Was Easy),2023-07-21,2r4RTDw9yS5f5ZgxK4C3nU,19BEjnIizZsrRRoNojv3Ui,"2bUYKdepfgDuZiRQJdvooU, 0MbDNDhsDB35CyvApzybJt",
2024-08-27 15:02:51,REMIX RUMBLE,"League of Legends, Steve Aoki",217807,,44,"speedrun, video game music",REMIX RUMBLE (Steve Aoki Remix),2023-11-20,1AG7YrtmqKDQTe3wpBXKhp,1Dk05oKAHWIFyN5kIWlTQ5,"47mIJdHORyRerp4os813jD, 77AiFEVeAVj2ORpC85QVJs",
2024-08-27 15:06:33,Hot N Cold,Katy Perry,220226,,75,pop,One Of The Boys,2008-06-17,0iGckQFyv6svOfAbAY9aWJ,3OALgjCs6Lqw41853v4wEQ,6jJ0s89eD6GaHleKKya26X,
2024-08-27 15:09:32,PRESSURE,AViVA,179727,,32,"alt z, vapor pop",PRESSURE,2023-01-13,4YfxPg0O9ktKNa9thvqEVH,3POERynz9qYEllJ7kYgpVh,50tDsT4wwq8FCMJNkn1D67,
2024-08-27 15:12:12,Forgive And Forget,AViVA,158754,,23,"alt z, vapor pop",Forgive And Forget,2023-03-24,2MrEdxp4r5dv6npQidfHNC,0FiWYz6w75d66of4Hd55rS,50tDsT4wwq8FCMJNkn1D67,
2024-08-27 15:15:11,Blow Your Mind (Mwah),Dua Lipa,178583,,65,"dance pop, pop, uk pop",Dua Lipa (Deluxe),2017-06-02,2eAAEa8pxKF7My0EO4rFgR,01sfgrNbnnPUEyz6GZYlt9,6M2wZ9GZgrQXHCFfjv46we,
2024-08-27 15:18:11,I Kissed A Girl,Katy Perry,179640,,73,pop,One Of The Boys,2008-06-17,14iN3o8ptQ8cFVZTEmyQRV,3OALgjCs6Lqw41853v4wEQ,6jJ0s89eD6GaHleKKya26X,
2024-08-27 15:20:40,Worms,Ashnikko,148690,,54,"alt z, escape room",Worms,2023-03-02,5PlGxNgE62io6OBc1BsIaq,1iMYhGsjfZIDKuiF73D6cI,3PyJHH2wyfQK3WZrk9rpmP,
2024-08-27 21:06:50,Disturbia,Rihanna,238626,,78,"barbadian pop, pop, urban contemporary",Good Girl Gone Bad: Reloaded,2008-06-02,2VOomzT6VavJOGBeySqaMc,3JSWZWeTHF4HDGt5Eozdy7,5pKCCKE2ajJHZ9KAiaK11H,
2024-08-27 21:10:55,Taste,Sabrina Carpenter,157279,,83,pop,Short n' Sweet,2024-08-23,5G2f63n7IPVPPjfNIGih7Q,3iPSVi54hsacKKl1xIR2eH,74KM79TiuVKeVCqs8QtB0B,
2024-08-27 21:14:02,Please Please Please,Sabrina Carpenter,186365,,78,pop,Short n' Sweet,2024-08-23,2tHwzyyOLoWSFqYNjeVMzj,3iPSVi54hsacKKl1xIR2eH,74KM79TiuVKeVCqs8QtB0B,
2024-08-27 21:17:07,Good Graces,Sabrina Carpenter,185265,,80,pop,Short n' Sweet,2024-08-23,102YUQbYmwdBXS7jwamI90,3iPSVi54hsacKKl1xIR2eH,74KM79TiuVKeVCqs8QtB0B,
2024-08-27 21:20:45,Sharpest Tool,Sabrina Carpenter,218284,,79,pop,Short n' Sweet,2024-08-23,3iPIDAFybaoyqX7hvAfWkl,3iPSVi54hsacKKl1xIR2eH,74KM79TiuVKeVCqs8QtB0B,
2024-08-27 21:23:30,Coincidence,Sabrina Carpenter,164202,,79,pop,Short n' Sweet,2024-08-23,5oIVNm56t6OIf9ZjdEG3ud,3iPSVi54hsacKKl1xIR2eH,74KM79TiuVKeVCqs8QtB0B,
2024-08-27 21:27:01,dumb dumb,mazie,125256,,68,"modern indie pop, sped up",the rainbow cassette,2021-08-25,4qbEaaJ29p32GI8EWQmm6R,7uzmNefPoRgc5Pi9DS00CC,4adSXA1GDOxNG7Zw89YHyz,
2024-08-27 21:36:17,dumb dumb,mazie,125256,,68,"modern indie pop, sped up",the rainbow cassette,2021-08-25,4qbEaaJ29p32GI8EWQmm6R,7uzmNefPoRgc5Pi9DS00CC,4adSXA1GDOxNG7Zw89YHyz,
2024-08-27 21:37:59,dumb dumb - sped up,mazie,102663,,65,"modern indie pop, sped up",the rainbow cassette (bonus),2022-09-28,2pJmSaPh5lMe4npn0Z6m8A,0SHvk3FxlmTOyldiqaVT8k,4adSXA1GDOxNG7Zw89YHyz,
2024-08-27 21:39:37,i think i wanna be alone,mazie,102954,,48,"modern indie pop, sped up",the rainbow cassette,2021-08-25,0uORqw0i7S97SG4dwb4Ett,7uzmNefPoRgc5Pi9DS00CC,4adSXA1GDOxNG7Zw89YHyz,
