played_at,track_name,artist_name,track_duration_ms,popularity,artist_genres,album_name,album_release_date,album_id,track_id,artist_ids,playlist_name,playlist_id
2024-08-25 12:11:50,Scarlett’s Lounge (Night),Christina Kuong,112.0,33,,"Tsuki's Odyssey (Original Game Soundtrack), Vol. 2",2022-01-17,5hlWt92OMQVKGshIIAVBu2,0lO0TR2U4kYsvyn12mg4fl,0U2rkbrhmfQRH7aaUH9gmd,CAFE MUSIC ~STUDIO GHIBLI Jazz & Bossa~,60AhOOwGhXsn5JD0cn6DsN
2024-08-25 12:09:56,Purple Whale,COZY CLOU:D,85.655,27,,Purple Whale,2023-09-17,4Qvdrwt0fVorLmLEDsohNj,0Xu0lespvp3bLf36GKmuoA,2auNjHrE1AhrrIlCdsTfPe,CAFE MUSIC ~STUDIO GHIBLI Jazz & Bossa~,60AhOOwGhXsn5JD0cn6DsN
2024-08-25 12:08:31,"Waltz No. 1 in B Minor, Collapse",Hikaru Shirosu,144.071,53,"anime score, japanese piano",Op. 1,2021-02-24,6UJ3HvyPZWwqtOahwJkktf,1AxZdya49udSTKEhDV8VYp,3WJfB0QSAWAO283H19gL5a,CAFE MUSIC ~STUDIO GHIBLI Jazz & Bossa~,60AhOOwGhXsn5JD0cn6DsN
2024-08-25 12:06:06,Le Festin - Jazz Version,Massimo Roberti,165.067,26,,BGM Disney Jazz Radio (Jazz Version),2023-01-26,1Yvh7jEzrqcKKhRMA9A8RA,205kHLNhjCWijITcVclALY,0qEB8kYquLEthXZ8IRUCsQ,CAFE MUSIC ~STUDIO GHIBLI Jazz & Bossa~,60AhOOwGhXsn5JD0cn6DsN
2024-08-25 12:03:20,Rock Time Jazz,Cafe Music BGM channel,168.536,51,background music,Coffee & Jazz,2018-11-09,1dQDdZKvdJ5gNhUF56S8Qu,3BVdEXx2x7r5G07VBl4KV1,3yKoHgjtyenCOIRaD2Gghu,CAFE MUSIC ~STUDIO GHIBLI Jazz & Bossa~,60AhOOwGhXsn5JD0cn6DsN
2024-08-25 12:00:32,let's be lazy together,biosphere,74.831,52,"lo-fi beats, lo-fi rap",Summer Festival,2017-08-29,1nKbuCxRD3gWTeKDs1CN0L,55hgAzy1kaC0Cn7EFxDeUz,6sa0lNcq7YdXNnQKZHFb0D,CAFE MUSIC ~STUDIO GHIBLI Jazz & Bossa~,60AhOOwGhXsn5JD0cn6DsN
2024-08-25 11:59:16,Coastal Mixtape,Christina Kuong,73.637,33,,"Tsuki's Odyssey (Original Game Soundtrack), Vol. 2",2022-01-17,5hlWt92OMQVKGshIIAVBu2,7wE3gKuzGK0VOyAeIYLySq,0U2rkbrhmfQRH7aaUH9gmd,CAFE MUSIC ~STUDIO GHIBLI Jazz & Bossa~,60AhOOwGhXsn5JD0cn6DsN
2024-08-25 11:58:02,Zora's Domain,Super Guitar Bros,123.321,41,vgm instrumental,Ocarina of Time,2018-02-22,0oCRqcXxOyKQsIjOvDfeQB,06NeLh1rzNjkvLp3gNoqEU,2WosnSaZPybvQfyGUvD3NX,CAFE MUSIC ~STUDIO GHIBLI Jazz & Bossa~,60AhOOwGhXsn5JD0cn6DsN
2024-08-25 11:55:58,Afternoon Storm,2 Mello,135.126,27,indie game soundtrack,Superliminal: The Lo-Fi Mix,2020-02-12,7AnDEZGd5Y67niU8IkDcbw,1sQGwZMenqTA6eDieXyvEj,7qEGDvyYKOw0Nk7pR1KEb4,CAFE MUSIC ~STUDIO GHIBLI Jazz & Bossa~,60AhOOwGhXsn5JD0cn6DsN
2024-08-25 11:53:43,A Morning Walk,Kim Moongo,112.248,32,,A Morning Walk,2020-04-15,55R9kZXzwjECeD7d0FfYQk,5GP6hhHBMwhpLP2bcxKnLv,04JJ8E4sqaqMTzSUIMxYfB,CAFE MUSIC ~STUDIO GHIBLI Jazz & Bossa~,60AhOOwGhXsn5JD0cn6DsN
